condition,T_C,strain_rate,split,n_pts,model,R2,RMSE,AARE
350-0_01,350,0.01,train,79,PGNN+λA,0.9880741346231182,1.4883043761222496,2.3639092535919732
350-0_01,350,0.01,val,16,SCAM,-301.30694523035874,26.933719036902833,26.842778835787882
350-0_01,350,0.01,val,16,ANN,0.9896747974945654,0.8094897356234281,1.5920943584511054
350-0_01,350,0.01,val,16,PGNN,0.9489710081899247,1.7995774859276197,3.390376532741452
350-0_01,350,0.01,val,16,PGNN+λA,0.9594040581007552,1.605104707012349,2.73168731979054
350-0_01,350,0.01,test,18,SCAM,-1.7146779699364023,20.596504620450183,32.91816428024186
350-0_01,350,0.01,test,18,ANN,0.918502607980355,4.671540409419876,12.871328298739087
350-0_01,350,0.01,test,18,PGNN,0.9547907033275616,3.4793821383406276,11.057273899400498
350-0_01,350,0.01,test,18,PGNN+λA,0.9725984018929221,2.7087953826256346,8.124175923469268
350-0_1,350,0.1,train,102,SCAM,-8.077934073703663,40.510328899274604,44.01938782952195
350-0_1,350,0.1,train,102,ANN,0.9591787537951015,3.900972689804233,4.766036400190092
350-0_1,350,0.1,train,102,PGNN,0.9843049343658297,2.418863429601015,3.4633572842511855
350-0_1,350,0.1,train,102,PGNN+λA,0.9902666278316146,1.9048529077864829,2.0208113685937104
350-0_1,350,0.1,val,22,SCAM,-74.83251147229583,32.70625875632873,22.79515565323329
350-0_1,350,0.1,val,22,ANN,0.9650126955775776,4.93815361201834,1.80584140107998
350-0_1,350,0.1,val,22,PGNN,0.9834484912735232,3.3964728490974596,1.517573488271513
350-0_1,350,0.1,val,22,PGNN+λA,0.9893625222362138,2.7228811551101537,0.9982485586026704
350-0_1,350,0.1,test,23,SCAM,-771.7449793985159,141.19416812011363,82.93770443651506
350-0_1,350,0.1,test,23,ANN,0.9629856021863559,3.594808668693885,7.893969183999119
350-0_1,350,0.1,test,23,PGNN,0.9901493739394295,1.854480848837365,3.8629226997644617
350-0_1,350,0.1,test,23,PGNN+λA,0.9938406124487132,1.4664227905832063,2.790549986350673
400-0_001,400,0.001,train,75,SCAM,-611.5042111863663,73.71431269049204,78.12013807568079
400-0_001,400,0.001,train,75,ANN,0.3201256971731524,3.885857309472816,17.88551475115118
400-0_001,400,0.001,train,75,PGNN,0.8711181432733062,1.6918756028428072,5.70736564661805
400-0_001,400,0.001,train,75,PGNN+λA,0.9139112219466772,1.3827568148755722,4.755086019294676
400-0_001,400,0.001,val,16,SCAM,-12854.90982794385,68.55979652830668,128.93235667936764
400-0_001,400,0.001,val,16,ANN,0.7113653851200923,4.227846991891152,22.61348703990508
400-0_001,400,0.001,val,16,PGNN,0.8851272842998983,2.6671872051478887,9.053102161269146
400-0_001,400,0.001,val,16,PGNN+λA,0.9257614011457258,2.1441735692822337,6.726219552482439
400-0_001,400,0.001,test,17,SCAM,-42.96788125932851,17.420595406870408,52.5536649125775
400-0_001,400,0.001,test,17,ANN,0.41003717809970475,4.099241472122421,22.792491799627545
400-0_001,400,0.001,test,17,PGNN,0.8183357653659296,2.2747092646703564,10.8550706365513
400-0_001,400,0.001,test,17,PGNN+λA,0.8422851119409993,2.1194712298606073,9.15117236416541
400-0_01,400,0.01,train,80,SCAM,-294.6155890211926,76.14433239620674,60.1916310859827
400-0_01,400,0.01,train,80,ANN,0.9162792054494298,2.7978229594412705,6.416513400089031
400-0_01,400,0.01,train,80,PGNN,0.9727073559036811,1.597446657785059,2.7711073067899177
400-0_01,400,0.01,train,80,PGNN+λA,0.9836995431773532,1.2345351134996398,3.0536580745498494
400-0_01,400,0.01,val,17,SCAM,-46.471375909097524,25.80478741475134,43.18711856822328
400-0_01,400,0.01,val,17,ANN,0.9570374206821705,1.8398517608616765,6.355996366580887
400-0_01,400,0.01,val,17,PGNN,0.9819389022252426,1.1929156361989888,3.0814204747390805
400-0_01,400,0.01,val,17,PGNN+λA,0.9786982073166877,1.29552481524035,4.365862378454867
400-0_01,400,0.01,test,18,SCAM,-2587.3237192176002,68.51111422388375,87.52220835967918
400-0_01,400,0.01,test,18,ANN,0.5752507186736415,1.5917107580790522,3.731101009664845
400-0_01,400,0.01,test,18,PGNN,0.8878962207151676,0.81772627421744,1.7886212916280047
400-0_01,400,0.01,test,18,PGNN+λA,0.9522234401537591,0.5338328103539884,1.2061548978702576
400-0_1,400,0.1,train,91,SCAM,-64.94934216939963,86.98623515296248,81.19739372641034
400-0_1,400,0.1,train,91,ANN,0.9657323320236015,3.2439993819168507,7.370682703767989
400-0_1,400,0.1,train,91,PGNN,0.9848704286302693,2.155518724456656,4.744302465848476
400-0_1,400,0.1,train,91,PGNN+λA,0.9915953826696645,1.6065618870110294,2.7531870719817486
400-0_1,400,0.1,val,19,SCAM,-25.230044001836628,5.947360991626825,5.81177171789575
400-0_1,400,0.1,val,19,ANN,0.980114440726304,2.3795222871561914,3.941148282290624
400-0_1,400,0.1,val,19,PGNN,0.9828565193157875,2.209379770204615,2.929091427000631
400-0_1,400,0.1,val,19,PGNN+λA,0.9912564733251227,1.5778444682936745,2.243388095421424
400-0_1,400,0.1,test,21,SCAM,-10.149509117742468,33.51043346953762,36.69643908926923
400-0_1,400,0.1,test,21,ANN,0.9663935765977487,2.4833045515031467,3.851450693253459
400-0_1,400,0.1,test,21,PGNN,0.9937731482113161,1.068939440755417,1.8178175779418166
400-0_1,400,0.1,test,21,PGNN+λA,0.9945609583832001,0.9990334463621777,1.747538255106474
450-0_001,450,0.001,train,86,SCAM,-1235.9481629248187,80.68185734490338,139.17385193846786
450-0_001,450,0.001,train,86,ANN,-0.5318573245220921,4.3424156352189875,30.771925431985075
450-0_001,450,0.001,train,86,PGNN,0.846731827339225,1.3735618523053548,7.041493160692852
450-0_001,450,0.001,train,86,PGNN+λA,0.8886901810893736,1.1705473040501386,6.065428855257992
450-0_001,450,0.001,val,18,SCAM,-2120.003944608472,35.8612350133889,113.61404986440802
450-0_001,450,0.001,val,18,ANN,-0.36629777533568064,4.247553938175314,26.26726500799741
450-0_001,450,0.001,val,18,PGNN,0.9000660290203757,1.1487427788626043,4.342553046312076
450-0_001,450,0.001,val,18,PGNN+λA,0.9174069457648817,1.0443305557749218,4.584121825579818
450-0_001,450,0.001,test,19,SCAM,-61.25175346326455,9.875412360413458,40.82523789518266
450-0_001,450,0.001,test,19,ANN,-0.30805907874967486,3.998068118220882,23.716690034236443
450-0_001,450,0.001,test,19,PGNN,0.9115842040821016,1.0394448215201788,3.724027580687697
450-0_001,450,0.001,test,19,PGNN+λA,0.9261874531499988,0.9497331669132499,3.7472294278961877
450-0_01,450,0.01,train,86,SCAM,-32.27956964100307,23.541878860271954,45.68010251236464
450-0_01,450,0.01,train,86,ANN,0.7482374758705164,3.5852332388732964,11.616210381268063
450-0_01,450,0.01,train,86,PGNN,0.9555338535624213,1.5067341062995399,2.187529599018356
450-0_01,450,0.01,train,86,PGNN+λA,0.9639172114496035,1.35728771655265,2.3972365359711483
450-0_01,450,0.01,val,18,SCAM,-742.7093749515674,166.69183088280303,223.82922126213333
450-0_01,450,0.01,val,18,ANN,0.28131597912246,4.612818390567979,19.64257654502234
450-0_01,450,0.01,val,18,PGNN,0.8190065503083558,2.314881642431621,7.777075267513714
450-0_01,450,0.01,val,18,PGNN+λA,0.8533571813394166,2.0836643528189076,6.82781209938532
450-0_01,450,0.01,test,19,SCAM,-12023.901055979673,67.24310119032953,98.47111407971373
450-0_01,450,0.01,test,19,ANN,0.8252969693307605,2.5108110656750178,8.70803270043649
450-0_01,450,0.01,test,19,PGNN,0.9959063829930762,0.38434162201374583,1.0676196925637822
450-0_01,450,0.01,test,19,PGNN+λA,0.9934947242284435,0.4845032230687637,1.5510641381702877
450-0_1,450,0.1,train,88,SCAM,-236.88552823123845,75.12201424750612,66.99368397613345
450-0_1,450,0.1,train,88,ANN,0.8396765234884045,2.676463327326608,8.732536291614345
450-0_1,450,0.1,train,88,PGNN,0.9757990625622582,1.0398694771533592,2.9507938453885583
450-0_1,450,0.1,train,88,PGNN+λA,0.9868117006588821,0.7676391824557274,2.3783380949324364
450-0_1,450,0.1,val,18,SCAM,-396.88558754839875,29.915834429369774,50.62819421532383
450-0_1,450,0.1,val,18,ANN,0.8451558766646383,2.7766598617527602,9.311805224017473
450-0_1,450,0.1,val,18,PGNN,0.9911779811223284,0.6627646097081358,1.679378324709065
450-0_1,450,0.1,val,18,PGNN+λA,0.9926940577217792,0.6031334800060807,1.9584742011602492
450-0_1,450,0.1,test,20,SCAM,-177.18749698555365,77.16241257575557,67.62092934292545
450-0_1,450,0.1,test,20,ANN,0.9081565842612153,2.285413780573598,6.780255777762262
450-0_1,450,0.1,test,20,PGNN,0.994249372113513,0.5718715102377006,1.4857238288319765
450-0_1,450,0.1,test,20,PGNN+λA,0.990785262168365,0.7239062396233044,1.6796749284932972
