config,seed,fold,r2,rmse,aare
mono,7,300-0_01,0.7040139436721802,9.499311321794801,13.765963554382324
mono,7,300-0_1,0.31367599964141846,26.80338272837206,8.506991386413574
mono,7,350-0_001,0.8159860372543335,3.8089346552156336,10.828932762145996
mono,7,350-0_01,0.7906264066696167,6.302493482962374,11.280622482299805
mono,7,350-0_1,-0.053015828132629395,21.151837698817314,24.71490478515625
mono,7,400-0_001,0.8217281103134155,2.319029173792112,9.358990669250488
mono,7,400-0_01,0.9164218306541443,2.578363673404185,4.760776996612549
mono,7,400-0_1,0.5947238802909851,10.75057307645355,17.209701538085938
mono,7,450-0_001,0.5937631130218506,2.255944241335195,11.946147918701172
mono,7,450-0_01,0.8531728982925415,2.5913812322734384,5.252217769622803
mono,7,450-0_1,0.09059786796569824,6.601914399829475,14.430472373962402
