cond,config,seed,r2,rmse,aare
300-0_01,mono,6,0.9891114830970764,1.3180223726535785,1.4426617622375488
300-0_1,mono,6,0.98014897108078,3.1200448996418704,0.9563947319984436
350-0_001,mono,6,0.6888037919998169,2.8993655464427754,7.227653980255127
350-0_01,mono,6,0.9904664754867554,0.9395678919998612,1.8472250699996948
350-0_1,mono,6,0.9596541523933411,4.075641679851047,3.931455373764038
400-0_001,mono,6,0.9703325629234314,0.9721302310625786,4.417740345001221
400-0_01,mono,6,0.8893768787384033,1.4645441588167936,2.920928955078125
400-0_1,mono,6,0.9560778737068176,3.9673374095116545,1.4846758842468262
450-0_001,mono,6,0.22670751810073853,2.7150855965232026,15.48006820678711
450-0_01,mono,6,0.7683931589126587,1.3665014671097273,3.815248489379883
450-0_1,mono,6,0.9228705763816833,2.122218162417343,3.844796895980835
RT-0_001,baseline,7,0.990521252155304,4.365939977228916,1.5428868532180786
RT-0_01,baseline,7,0.6227038502693176,25.230782929321922,4.6845598220825195
RT-0_1,baseline,7,0.9966850876808167,2.421721915052179,1.4683305025100708
150-0_001,baseline,7,0.9800620675086975,5.715724791108763,3.6382694244384766
150-0_01,baseline,7,0.9979923963546753,1.967732302706686,1.0173619985580444
150-0_1,baseline,7,0.9628173112869263,6.653612930803758,3.9506752490997314
250-0_001,baseline,7,0.9703340530395508,1.2701533744592692,1.4241244792938232
250-0_01,baseline,7,0.9643548727035522,2.223912211050818,1.9054638147354126
250-0_1,baseline,7,0.9948829412460327,3.389281397812033,4.091924667358398
300-0_001,baseline,7,0.9819433689117432,1.807505731428459,2.3281681537628174
300-0_01,baseline,7,0.9818986058235168,2.654195372357882,7.028941631317139
300-0_1,baseline,7,0.9675518274307251,3.6116138466946768,3.8311827182769775
350-0_001,baseline,7,0.955703616142273,1.8854029393267175,2.2068209648132324
350-0_01,baseline,7,0.980335533618927,1.766835160887481,4.289546012878418
350-0_1,baseline,7,0.9919372200965881,2.005306119309746,4.271485805511475
400-0_001,baseline,7,0.9055848717689514,1.929937369659626,4.055254936218262
400-0_01,baseline,7,0.9815728664398193,1.2493509037810409,3.5784523487091064
400-0_1,baseline,7,0.9724233746528625,1.984616182343602,6.508606910705566
450-0_001,baseline,7,0.8049108982086182,1.5510514261806745,6.278183937072754
450-0_01,baseline,7,0.95805823802948,1.3425326932623773,3.039548635482788
450-0_1,baseline,7,0.981187105178833,1.150063330523623,3.5198752880096436
RT-0_001,mono,7,0.9884001016616821,4.829798929835146,2.313577651977539
RT-0_01,mono,7,0.3121856451034546,34.06631644330841,5.921980857849121
RT-0_1,mono,7,0.9978049397468567,1.970659026757445,0.9476984143257141
150-0_001,mono,7,0.9843032360076904,5.071500148306462,3.3109822273254395
150-0_01,mono,7,0.9949899911880493,3.1084472192213686,2.4752159118652344
150-0_1,mono,7,0.9657689332962036,6.38406684718114,2.838888168334961
250-0_001,mono,7,0.9745870232582092,1.1755873814941704,1.328937292098999
250-0_01,mono,7,0.9814872741699219,1.6027018146521994,1.2840577363967896
250-0_1,mono,7,0.975190281867981,7.462922572147663,8.451952934265137
300-0_001,mono,7,0.9781096577644348,1.9901586037120451,4.581320285797119
300-0_01,mono,7,0.9568110704421997,4.099806171580706,8.324417114257812
300-0_1,mono,7,0.9836683869361877,2.5622430998260493,2.915356397628784
350-0_001,mono,7,0.969911515712738,1.553890388143143,2.07391619682312
350-0_01,mono,7,0.9838581085205078,1.6007818785219834,4.0611419677734375
350-0_1,mono,7,0.9959160685539246,1.4271725907454307,3.244262933731079
400-0_001,mono,7,0.8848199844360352,2.1316258968762316,3.2497997283935547
400-0_01,mono,7,0.9929872751235962,0.7707236100194296,2.047018527984619
400-0_1,mono,7,0.9853766560554504,1.4452026325428855,2.8021535873413086
450-0_001,mono,7,0.8122573494911194,1.5215671110367337,6.703380584716797
450-0_01,mono,7,0.9803605675697327,0.9186839462721239,2.243403196334839
450-0_1,mono,7,0.9965289235115051,0.4940001246523603,1.403289794921875
